web-scraper-order,web-scraper-start-url,pagination,link,link-href,address,price,beds,baths,sqft,DOM,year,lot_size,estimate,est_monthly_payment,parking,pool,school_dist,zoning,views,favorites,outs,walk_score,transit_score,bike_score,hoa_dues
1638423302-1157,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/746-S-Los-Angeles-St-90021/unit-304/home/21921613,"746 S Los Angeles St #304,","$525,000.00",1,1,960,Time on Redfin29 days,1922,High or Mid-Rise Condo,"$522,628.00","$3,055.00","Sport Court, Exercise Room, Association Barbecue, Security, Basketball Court, Fitness Center, Tennis Courts, Sun Deck, Pool, Onsite Property Management, Outdoor Cooking Area",# of Parking Spaces (Total): 1,Community Pool,,"1,465",69,4,97 / 100,100 / 100,90 / 100,HOA Dues$685/month
1638423951-1339,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/North-Hollywood/10945-Hortense-St-91602/unit-308/home/5303752,"10945 Hortense St #308,","$625,000.00",3,2,"1,346",Time on Redfin10 days,1982,custom,"$650,800.00","$3,221.00",2,Entry Floor Number: 3,Lot Size Source: Assessor,Pool Construction: In Ground,"2,054",86,7,84 / 100,45 / 100,68 / 100,HOA Dues$400/month
1638424081-1389,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Gardena/14047-Pearl-Ln-90247/unit-2/home/177359428,"14047 Pearl Ln #2,","$760,000.00",3,3.5,"1,914",Time on Redfin3 days,2021,115 - North Gardena,"$766,375.00","$3,714.00",Attached Garage,Patio And Porch Features: Porch - Front,High School District: Los Angeles Unified,Road Surface Type: Paved,384,25,2,64 / 100,50 / 100,62 / 100,HOA Dues$283/month
1638423972-1347,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/525-S-Ardmore-Ave-90020/unit-216/home/7090176,"525 S Ardmore Ave #216,","$385,000.00",1,1,566,Time on Redfin9 days,1973,Low Rise,"$386,640.00","$2,029.00",1,# of Parking Spaces (Total): 1,Unit Floor In Building: 2,AssociationPetRules: Call,782,24,1,92 / 100,84 / 100,59 / 100,HOA Dues$291/month
1638423889-1315,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/332-S-Kingsley-Dr-90020/unit-105/home/7089849,"332 S Kingsley Dr #105,","$679,000.00",2,2,"1,107",Time on Redfin14 days,1991,Contemporary,"$678,144.00","$3,385.00",3,# of Parking Spaces (Total): 2,Unit Floor In Building: 1,AssociationPetRules: No,963,26,3,89 / 100,82 / 100,62 / 100,HOA Dues$320/month
1638423279-1153,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/900-W-Olympic-Blvd-90015/unit-28E/home/51584680,"900 W Olympic Blvd Unit 28E,","$1,550,555.00",2,3,"1,674",Time on Redfin29 days,2010,Contemporary,"$1,525,377.00","$9,741.00",3,"Heated And Filtered Pool, Salt/Saline, Community Pool",# of Units in Complex (Total): 224,,375,8,1,93 / 100,100 / 100,86 / 100,"HOA Dues$2,741/month"
1638423942-1336,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/645-W-9th-St-90015/unit-201/home/17231219,"645 W 9th St #201,","$415,000.00",—,1,600,Time on Redfin10 days,2006,C42 - Downtown L.A.,"$416,932.00","$2,604.00",1,Pool Features: Community Pool,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,656,17,1,96 / 100,100 / 100,85 / 100,HOA Dues$731/month
1638423681-1235,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Toluca-Lake/10240-Camarillo-St-91602/unit-303/home/5300244,"10240 Camarillo St #303,","$568,000.00",2,2,965,Time on Redfin20 days,1965,TUL - Toluca Lake,"$574,993.00","$3,074.00","Dishwasher, Electric Range, Garbage Disposal, Microwave, Refrigerator",Patio And Porch Features: Patio,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,"2,429",88,9,68 / 100,38 / 100,62 / 100,HOA Dues$510/month
1638423865-1306,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/San-Pedro/2209-W-25th-St-90732/unit-17/home/7737251,"2209 W 25th St #17,","$899,000.00",2,2,"1,857",Time on Redfin14 days,1984,Mediterranean,"$891,891.00","$4,558.00","Dishwasher, Garbage Disposal, Gas Oven, Gas Range",Foundation Details: Permanent,High School District: Los Alamitos Unified,Association Fee Frequency: Monthly,565,5,4,25 / 100,19 / 100,18 / 100,HOA Dues$500/month
1638424140-1411,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/1425-W-12th-St-90015/unit-257/home/6932262,"1425 W 12th St #257,","$499,000.00",2,1,859,Time on Redfin34 hours,1983,C42 - Downtown L.A.,"$511,351.00","$2,653.00",2,Pool Features: Association,High School District: Los Angeles Unified,Zoning: LAR4,262,17,1,90 / 100,90 / 100,77 / 100,HOA Dues$400/month
