web-scraper-order,web-scraper-start-url,pagination,link,link-href,address,price,beds,baths,sqft,DOM,year,lot_size,estimate,est_monthly_payment,parking,pool,school_dist,zoning,views,favorites,outs,walk_score,transit_score,bike_score,hoa_dues
1638423725-1253,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Malibu/18111-Coastline-Dr-90265/unit-3/home/8148529,"18111 Coastline Dr #3,","$1,540,000.00",2,2,"1,200",Time on Redfin19 days,1967,Other,"$1,283.00","$7,375.00",2,Balcony: Ocean,"Amenities: Association Maintains Landscape, Association Pet Rules, Hot Water",,"1,638",39,2,7 / 100,,9 / 100,HOA Dues$423/month
1638424232-1446,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/North-Hollywood/5121-Ledge-Ave-91601/unit-1/home/5298148,"5121 Ledge Ave #1,","$700,000.00",3,2,"1,286",Time on Redfin10 hours,1964,Low Rise,"$705,019.00","$3,360.00","Community Laundry, Laundry Room","Patio Features: Brick, Porch - Front, Patio Open",# of Units in Complex (Total): 4,,888,73,1,73 / 100,40 / 100,68 / 100,HOA Dues$200/month
1638423887-1314,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/North-Hollywood/5022-Whitsett-Ave-91607/unit-303/home/177272539,"5022 Whitsett Ave #303,","$985,000.00",3,2,"1,592",Time on Redfin14 days,2020,VVL - Valley Village,"$987,307.00","$4,839.00",Attached Garage,Pool Features: None,High School District: Los Angeles Unified,,878,47,1,76 / 100,44 / 100,58 / 100,HOA Dues$392/month
1638424022-1366,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/360-W-Ave-26-90031/unit-314/home/12290904,"360 W Avenue 26 #314,","$519,000.00",2,2,"1,000",Time on Redfin6 days,2006,Contemporary,"$523,960.00","$2,788.00",4,# of Parking Spaces (Total): 1,Available for Lease,AssociationPetRules: Yes,"1,045",46,5,70 / 100,70 / 100,74 / 100,HOA Dues$445/month
1638424071-1385,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/312-W-5th-St-90013/unit-721/home/8183822,"312 W 5th St #721,","$369,000.00",1,1,500,Time on Redfin3 days,1923,C42 - Downtown L.A.,"$370,487.00","$1,897.00",1,"Pool Features: Private, Association, Roof Top",High School District: Los Angeles Unified,Association Fee Frequency: Monthly,513,27,1,98 / 100,100 / 100,85 / 100,HOA Dues$231/month
1638423742-1260,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Harbor-City/1436-257th-St-90710/unit-102/home/7671907,"1436 257th St #102,","$499,999.00",2,2,968,Time on Redfin18 days,1987,124 - Harbor City,"$499,804.00","$2,587.00","Dishwasher, Free Standing Range, Refrigerator",Pool Features: None,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,585,18,6,78 / 100,43 / 100,67 / 100,HOA Dues$330/month
1638423503-1187,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/5648-1-2-Clemson-St-90016/home/6890439,"5648-1/2 Clemson St,","$369,000.00",1,1,651,Time on Redfin25 days,1948,PHHT - Park Hills Heights,"$366,326.00","$1,944.00",None,Pool Features: None,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,"1,622",40,4,59 / 100,62 / 100,54 / 100,HOA Dues$278/month
1638423728-1254,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/West-Hollywood/999-N-Doheny-Dr-90069/unit-301/home/6819128,"999 N Doheny Dr #301,","$719,000.00",1,1,842,Time on Redfin19 days,1963,Contemporary,"$717,170.00","$4,179.00",1,Other Structural Features: Balcony,# of Units in Complex (Total): 151,,885,8,6,80 / 100,59 / 100,34 / 100,HOA Dues$933/month
1638423937-1334,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/San-Pedro/1441-Brett-Pl-90732/unit-340/home/7685925,"1441 Brett Pl #340,","$435,000.00",2,2,840,Time on Redfin10 days,1987,Contemporary,2.5%,$518.00,None,Foundation Details: See Remarks,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,"1,574",82,5,74 / 100,33 / 100,34 / 100,HOA Dues$430/month
1638424212-1439,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/West-Hollywood/825-N-Croft-Ave-90069/unit-102/home/174458824,"825 N Croft Ave #102,","$1,399,000.00",2,2.5,"1,278",Time on Redfin12 hours,2020,Modern,"$1,398,084.00","$6,749.00",4,# of Covered Parking Spaces: 2,Unit Floor In Building: 1,"Fees Include Water, Fees IncludeTrash",86,5,0,88 / 100,62 / 100,65 / 100,HOA Dues$434/month
1638423602-1206,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Marina-Del-Rey/4316-Marina-City-Dr-90292/unit-000325/home/22703813,"4316 Marina City Dr #325,","$549,000.00",1,1,935,Time on Redfin23 days,1972,High or Mid-Rise Condo,"$540,910.00","$3,708.00","Marble Counters, Counter Top",Patio Features: Balcony,# of Units in Complex (Total): 600,,"5,160",46,4,75 / 100,,83 / 100,"HOA Dues$1,230/month"
1638423361-1166,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/2220-Avenue-of-the-Stars-90067/unit-1605/home/6808879,"2220 Avenue Of The Stars #1605,","$1,595,000.00",2,2,"1,700",Time on Redfin28 days,1964,Contemporary,"$1,558,061.00","$9,173.00",Laundry in Unit,Association Pool,# of Units in Complex (Total): 331,,609,30,1,76 / 100,47 / 100,55 / 100,"HOA Dues$1,973/month"
1638423206-1141,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Venice/707-Marr-St-90291/unit-202/home/6735753,"707-202 Marr St,","$1,179,000.00",2,2,"1,133",Time on Redfin31 days,1984,Custom Built,"$1,145,197.00","$5,757.00","Gas Oven, Microwave, Range/Stove Hood, Refrigerator, Water Heater Unit",Patio And Porch Features: Patio Open,Elementary School: Coeur d'Alene,,666,2,3,90 / 100,56 / 100,94 / 100,HOA Dues$435/month
1638423966-1345,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/360-W-Ave-26-90031/unit-213/home/40388539,"360 W Avenue 26 #213,","$345,000.00",—,1,630,Time on Redfin9 days,2006,677 - Lincoln Hts,"$349,326.00","$1,942.00",1,Pool Features: None,High School District: Los Angeles Unified,,"1,074",66,9,70 / 100,70 / 100,74 / 100,HOA Dues$385/month
1638424012-1362,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Marina-Del-Rey/4730-La-Villa-Marina-90292/unit-16/home/6732940,"4730 La Villa Marina #16,","$1,049,000.00",2,2.5,"1,456",Time on Redfin8 days,1966,Traditional,"$1,080,764.00","$5,170.00",Laundry Inside,"In Ground Pool, Heated Pool, Private Pool",# of Units in Complex (Total): 36,,"1,131",59,5,79 / 100,,78 / 100,HOA Dues$435/month
1638423641-1220,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Winnetka/7515-Winnetka-Ave-91306/unit-116/home/3752887,"7515 Winnetka Ave Ave #116,","$389,000.00",2,3,"1,299",Time on Redfin22 days,1982,WIN - Winnetka,"$389,272.00","$2,153.00","See Remarks, Decorative, Living Room",Common Walls: 1 common wall,,,"1,127",22,10,67 / 100,40 / 100,62 / 100,HOA Dues$397/month
1638423274-1152,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/900-W-Olympic-Blvd-90015/unit-37H/home/51584757,"900 W Olympic Blvd Unit 37H,","$1,673,333.00",2,3,"1,807",Time on Redfin29 days,2010,Contemporary,"$1,647,423.00","$10,295.00",3,"Heated And Filtered Pool, Salt/Saline, Community Pool",# of Units in Complex (Total): 224,,234,6,0,93 / 100,100 / 100,86 / 100,"HOA Dues$2,741/month"
1638424246-1451,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/957-Figueroa-Ter-90012/unit-314/home/175843500,"957 Figueroa Ter #314,","$1,085,000.00",2,2.5,"1,353",Time on Redfin7 hours,2021,Contemporary,"$1,085,475.00","$5,296.00","Controlled Access, Elevator, Gated Community, Association Maintains Landscape, Rec Multipurpose Rm, Gated Parking, Association Barbecue",# of Parking Spaces (Total): 2,Patio Features: Patio Open,,46,4,0,76 / 100,83 / 100,36 / 100,HOA Dues$398/month
1638423464-1181,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/West-Hollywood/132-N-Swall-Dr-90048/unit-203/home/167426921,"132 N Swall Dr #203,","$2,380,000.00",3,3.5,"1,690",Time on Redfin27 days,2018,C19 - Beverly Center-Miracle Mile,"$2,344,386.00","$11,272.00","Garbage Disposal, Microwave, Refrigerator, Trash Compactor",Pool Features: None,Elementary School: Rosewood,Association Fee Frequency: Monthly,735,18,1,93 / 100,62 / 100,73 / 100,HOA Dues$528/month
1638424142-1412,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/4848-Wilshire-Blvd-90010/unit-304/home/21916421,"4848 Wilshire Blvd #304,","$1,695,000.00",3,4,"2,330",Time on Redfin34 hours,2008,Contemporary,"$1,668,998.00","$8,242.00",Laundry Inside,Amenities: Other,"Lot Size (Sq. Ft.): 40,728",,138,1,1,82 / 100,57 / 100,60 / 100,HOA Dues$590/month
1638424205-1437,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/1050-S-Grand-Ave-90015/unit-1308/home/113667046,"1050 S Grand Ave #1308,","$739,000.00",1,1,840,Time on Redfin12 hours,2017,Architectural,"$728,665.00","$4,236.00","Laundry in Unit, Laundry in Closet","Association Pool, Community Pool",# of Units in Complex (Total): 151,,92,4,0,90 / 100,100 / 100,83 / 100,HOA Dues$900/month
1638423796-1281,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/2929-Waverly-Dr-90039/unit-113/home/7063788,"2929 Waverly Dr #113,","$545,000.00",1,1,880,Time on Redfin16 days,1973,671 - Silver Lake,"$546,234.00","$2,910.00",1,"Pool Features: Association, Fenced",High School District: Los Angeles Unified,Zoning: LARD1.5,864,21,2,81 / 100,47 / 100,69 / 100,HOA Dues$450/month
1638424244-1450,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/7110-La-Tijera-Blvd-90045/unit-I201/home/8126324,"7110 La Tijera Blvd Unit I201,","$539,000.00",1,1,880,Time on Redfin7 hours,1991,C29 - Westchester,2.5%,$613.00,1,Pool Features: None,High School District: Westminster Unified,Association Fee Frequency: Monthly,121,3,1,77 / 100,38 / 100,41 / 100,HOA Dues$348/month
1638423740-1259,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-2311/home/143519400,"889 Francisco St #2311,","$735,000.00",1,1.5,880,Time on Redfin18 days,2017,Contemporary,$835.00,"$4,210.00","Laundry in Unit, Stacked Laundry in Closet",Balcony: No,"Amenities: Controlled Access, Association Barbecue, Elevator, Exercise Room, Extra Storage, Fitness Center, Gated Community Guard, Clubhouse, Pool, Private Cabana, Guest Parking, Association Maintains Landscape, Association Pet Rules, Sun Deck",,354,12,1,91 / 100,100 / 100,78 / 100,HOA Dues$892/month
1638423055-1115,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/880-W-1st-St-90012/unit-207/home/6933485,"880 W 1st St #207,","$645,000.00",2,2,"1,217",Time on Redfin49 days,1982,C42 - Downtown L.A.,"$637,595.00","$3,933.00",2,Pool Features: Community Pool,High School District: Los Angeles Unified,Zoning: LAR5,"2,637",52,9,92 / 100,100 / 100,58 / 100,"HOA Dues$1,021/month"
1638423849-1300,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Northridge/17123-Roscoe-Blvd-91325/unit-10/home/5752527,"17123 Roscoe Blvd #10,","$409,000.00",2,1.5,931,Time on Redfin14 days,1971,NR - Northridge,"$408,516.00","$2,178.00",187,Pool Features: Association,High School District: See Remarks,Association Fee Frequency: Monthly,934,19,4,42 / 100,39 / 100,46 / 100,HOA Dues$332/month
1638423585-1201,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/West-Hollywood/1412-N-Crescent-Heights-Blvd-90046/unit-204/home/7117264,"1412 N Crescent Heights Blvd #204,","$1,315,000.00",2,2.5,"1,272",Time on Redfin23 days,1981,Contemporary,"$1,292,774.00","$6,404.00",1,Roof: Elastomeric,"Amenities: Association Maintains Landscape, Association Pet Rules, Extra Storage, Gated Community, Guest Parking, Security, Gated Parking, Pool, Rec Multipurpose Rm, Controlled Access","View: City, City Lights, Courtyard, Peek-A-Boo, Pool, Tree Top",631,20,2,94 / 100,54 / 100,56 / 100,HOA Dues$468/month
1638423013-1110,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/312-W-5th-St-90013/unit-507/home/8181092,"312 W 5th St #507,","$399,999.00",1,1,860,Time on Redfin140 days,1923,C42 - Downtown L.A.,"$397,794.00","$2,116.00","Garage, Valet","Pool Features: Association, Community Pool",High School District: Los Angeles Unified,Zoning: LAC5,"12,210",324,30,98 / 100,100 / 100,85 / 100,HOA Dues$310/month
1638424035-1371,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/10580-Wilshire-Blvd-90024/unit-3S/home/177345509,"10580 Wilshire Blvd Unit 3S,","$2,700,000.00",2,3,"2,554",Time on Redfin6 days,1991,Modern,"$2,696,798.00","$16,077.00","Association Pet Rules, Concierge, Elevator, Fitness Center, Security, Pool, Valet Parking",# of Parking Spaces (Total): 2,Other Structural Features: Balcony,,165,1,0,61 / 100,68 / 100,52 / 100,"HOA Dues$3,888/month"
1638423176-1135,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/460-S-Spring-St-90013/unit-618/home/17230918,"460 S Spring St #618,","$550,000.00",1,1,690,Time on Redfin31 days,1912,Architectural,"$547,132.00","$3,098.00",None,Balcony: No,Available for Lease,AssociationPetRules: Yes,757,48,2,98 / 100,100 / 100,89 / 100,HOA Dues$615/month
1638423699-1242,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Pacoima/11150-Glenoaks-Blvd-91331/unit-89/home/5484662,"11150 Glenoaks Blvd #89,","$399,000.00",2,2,"1,017",Time on Redfin20 days,1988,PAC - Pacoima,"$409,613.00","$2,218.00","Dishwasher, Gas Oven, Microwave, Refrigerator, Water Heater Unit",No,Latitude: 34.27214700,Association Fee Frequency: Monthly,"2,206",94,4,73 / 100,46 / 100,60 / 100,HOA Dues$417/month
1638423774-1272,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Beverly-Hills/300-N-Swall-Dr-90211/unit-254/home/6815722,"300 N Swall Dr #254,","$2,995,000.00",3,2.5,"2,850",Time on Redfin17 days,1981,Low Rise,"$2,919,261.00","$15,870.00","Laundry in Unit, Laundry Room","Association Pool, Heated And Filtered Pool, In Ground Pool, Community Pool",# of Units in Complex (Total): 64,,608,18,1,86 / 100,64 / 100,70 / 100,"HOA Dues$2,350/month"
1638424124-1405,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/3640-Cardiff-Ave-90034/unit-110/home/6794182,"3640 Cardiff Ave #110,","$660,000.00",2,2,907,Time on Redfin2 days,1973,C13 - Palms - Mar Vista,2.5%,$728.00,2,Patio And Porch Features: Patio,High School District: Los Angeles Unified,,397,30,4,93 / 100,59 / 100,89 / 100,HOA Dues$510/month
1638423772-1271,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/100-S-Alameda-St-90012/unit-232/home/17235491,"100 S Alameda St #232,","$659,000.00",2,2,"1,000",Time on Redfin17 days,2005,Contemporary,"$650,446.00","$3,577.00","Association Barbecue, Association Maintains Landscape, Association Pet Rules",# of Parking Spaces (Total): 2,Roof: Composition,,673,18,1,94 / 100,100 / 100,78 / 100,HOA Dues$602/month
1638424044-1375,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/7716-1-2-Crenshaw-Blvd-90043/home/6427523,"7716-1/2 Crenshaw Blvd,","$425,000.00",1,1,671,Time on Redfin4 days,1949,C34 - Los Angeles Southwest,"$423,304.00","$2,110.00",1,Pool Features: None,High School District: Inglewood Unified,Association Fee Frequency: Monthly,218,3,1,62 / 100,53 / 100,51 / 100,HOA Dues$191/month
1638423720-1251,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/San-Fernando/10943-Laurel-Canyon-Blvd-91340/unit-59/home/5592964,"10943 Laurel Canyon Blvd #59,","$379,000.00",2,2,797,Time on Redfin20 days,1988,SF - San Fernando,"$384,968.00","$1,971.00","Gas Oven, Microwave, Water Heater Unit",Patio And Porch Features: None,Latitude: 34.26866600,,"1,262",24,2,45 / 100,43 / 100,43 / 100,HOA Dues$260/month
1638424227-1444,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Woodland-Hills/21301-Erwin-St-91367/unit-535/home/40152389,"21301 Erwin St #535,","$440,000.00",1,1,650,Time on Redfin11 hours,2010,WHLL - Woodland Hills,"$454,965.00","$2,421.00",1,"Pool Features: Community Pool, In Ground",High School District: Los Angeles Unified,Association Fee Frequency: Monthly,264,14,2,60 / 100,53 / 100,71 / 100,HOA Dues$435/month
1638423225-1144,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/2222-Avenue-of-the-Stars-90067/unit-2401/home/6809090,"2222 Avenue Of The Stars #2401,","$1,950,000.00",3,3,"2,064",Time on Redfin30 days,1964,High or Mid-Rise Condo,"$1,925,117.00","$11,402.00",Century Towers Association,# of Parking Spaces (Total): 2,Balcony: none,Fee #2: $165,740,12,2,76 / 100,47 / 100,55 / 100,"HOA Dues$2,599/month"
1638423212-1142,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/3734-S-Canfield-Ave-90034/unit-340/home/6794342,"3734 S Canfield Ave #340,","$450,000.00",1,1,613,Time on Redfin30 days,1972,C28 - Culver City,"$454,250.00","$2,413.00","Dishwasher, Gas Range",Pool Features: None,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,"1,717",44,14,93 / 100,60 / 100,91 / 100,HOA Dues$382/month
1638423594-1203,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/7037-La-Tijera-Blvd-90045/unit-F101/home/8118979,"7037 La Tijera Blvd Unit F101,","$445,000.00",1,1,566,Time on Redfin23 days,1991,Mediterranean,"$443,066.00","$2,385.00","Garbage Disposal, Gas Stove, Microwave",Patio And Porch Features: Patio,Elementary School: Westport Heights,Association Fee Frequency: Monthly,907,12,8,79 / 100,37 / 100,45 / 100,HOA Dues$376/month
1638423859-1304,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/2025-Avenue-of-the-Stars-90067/unit-1604/home/168666789,"2025 Avenue Of The Stars #1604,","$4,500,000.00",2,2.5,"1,756",Time on Redfin14 days,2021,Modern,"$4,418,957.00","$23,336.00",Laundry in Closet,"Heated Pool, Community Pool",# of Units in Complex (Total): 63,,177,3,0,89 / 100,59 / 100,51 / 100,"HOA Dues$3,022/month"
1638423485-1184,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/12772-Pacific-Ave-90066/unit-5/home/6740205,"12772 Pacific Ave #5,","$889,000.00",2,2.5,"1,361",Time on Redfin27 days,1980,Traditional,"$886,708.00","$4,368.00",Call LA,# of Parking Spaces (Total): 2,Roof: Composition,"Fees Include Insurance, Fees Include Earthquake Insurance, Fees IncludeTrash, Fees Include Water and Sewer, Fees Include Building and Grounds","4,697",100,13,85 / 100,50 / 100,84 / 100,HOA Dues$355/month
1638423841-1297,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Panorama-City/14657-Nordhoff-St-91402/unit-8/home/5674179,"14657 Nordhoff St #8,","$479,900.00",2,2.5,"1,316",Time on Redfin15 days,1980,PC - Panorama City,"$476,340.00","$2,456.00","Free Standing Range, Garbage Disposal, Gas Range, Gas Stove, Gas Water Heater, Microwave",Foundation Details: None,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,491,8,1,77 / 100,50 / 100,69 / 100,HOA Dues$290/month
1638423333-1162,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Playa-Del-Rey/8300-Manitoba-St-90293/unit-102/home/12130935,"8300 Manitoba St #102,","$745,000.00",2,1,840,Time on Redfin28 days,1984,C31 - Playa Del Rey,"$740,562.00","$3,712.00",1,Pool Features: Community Pool,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,497,16,5,61 / 100,32 / 100,57 / 100,HOA Dues$349/month
1638423833-1294,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/2222-Avenue-of-the-Stars-90067/unit-1906/home/6809058,"2222 Avenue Of The Stars #1906,","$1,395,000.00",2,2,"1,334",Time on Redfin15 days,1964,Contemporary,"$1,378,282.00","$8,259.00",Laundry in Kitchen,"Patio Features: Living Room Balcony, Covered",# of Units in Complex (Total): 331,,514,18,3,76 / 100,47 / 100,55 / 100,"HOA Dues$1,962/month"
1638423659-1227,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/6250-Hollywood-Blvd-90028/unit-7A/home/40155444,"6250 Hollywood Blvd Unit 7A,","$1,385,000.00",2,2.5,"1,870",Time on Redfin21 days,2009,Modern,"$1,365,724.00","$8,541.00",2,Patio Features: Balcony,# of Units in Complex (Total): 143,Special Zoning: None,236,12,4,95 / 100,74 / 100,75 / 100,"HOA Dues$2,289/month"
1638423969-1346,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/7250-Franklin-Ave-90046/unit-204/home/7114233,"7250 Franklin Ave #204,","$618,000.00",1,2,"1,047",Time on Redfin9 days,1964,C03 - Sunset Strip - Hollywood Hills West,"$617,427.00","$3,588.00",2,Patio And Porch Features: Roof Top,High School District: Los Angeles Unified,Zoning: LAR3,537,6,6,92 / 100,61 / 100,39 / 100,HOA Dues$798/month
1638423638-1219,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/727-S-Ardmore-Ave-90005/unit-304/home/6918341,"727 S Ardmore Ave #304,","$785,000.00",2,2,"1,546",Time on Redfin22 days,1982,Contemporary,"$784,165.00","$4,064.00",Laundry Inside,Community Pool,# of Units in Complex (Total): 75,,579,9,3,97 / 100,82 / 100,61 / 100,HOA Dues$520/month
1638423753-1264,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Playa-Del-Rey/6400-Pacific-Ave-90293/unit-302/home/6624262,"6400 Pacific Ave #302,","$1,225,000.00",2,2,"1,114",Time on Redfin17 days,1969,Contemporary,"$1,225,428.00","$6,078.00",Other (See Remarks),"Amenities: Association Maintains Landscape, Controlled Access, Elevator, Extra Storage","Lot Size (Sq. Ft.): 17,755",,"2,264",78,2,59 / 100,42 / 100,72 / 100,HOA Dues$548/month
1638423974-1348,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Culver-City/6665-Green-Valley-Cir-90230/unit-320/home/6653209,"6665 Green Valley Cir #320,","$700,000.00",2,2,"1,252",Time on Redfin9 days,1970,Other,"$733,391.00","$3,785.00",Other (See Remarks),Association Pool,# of Units in Complex (Total): 404,,"2,567",132,6,52 / 100,51 / 100,42 / 100,HOA Dues$625/month
1638423589-1202,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/2349-S-Beverly-Glen-Blvd-90064/unit-201/home/6795183,"2349 S Beverly Glen Blvd #201,","$825,000.00",2,2,"1,157",Time on Redfin23 days,1991,Traditional,"$820,513.00","$4,294.00",2,"Amenities: Elevator, Controlled Access","Lot Size (Sq. Ft.): 13,503",,778,12,4,76 / 100,54 / 100,54 / 100,HOA Dues$570/month
1638424158-1418,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/2939-Leeward-Ave-90005/unit-407/home/173881108,"2939 Leeward Ave #407,","$745,000.00",2,2,"1,436",Time on Redfin30 hours,2019,Modern,"$746,296.00","$3,761.00",Attached Garage,"Pool Features: Association, Community Pool, In Ground",Latitude: 34.05877700,"Association Amenities: Clubhouse Paid, Controlled Access, Gym/Ex Room, Recreational Multipurpose Room, Club House, Trash",157,5,0,96 / 100,85 / 100,69 / 100,HOA Dues$398/month
1638423781-1275,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/6250-Hollywood-Blvd-90028/unit-12H/home/40155499,"6250 Hollywood Blvd Unit 12H,","$1,895,000.00",2,3,"1,860",Time on Redfin17 days,2009,Contemporary,"$1,855,563.00","$10,895.00","Association Barbecue, Association Maintains Landscape, Association Pet Rules, Concierge, Controlled Access, Fire Pit, Fitness Center, Dock, Hot Water, Onsite Property Management, Valet Parking, Spa, Security, Pool",# of Parking Spaces (Total): 2,Other Structural Features: Balcony,,263,16,0,95 / 100,74 / 100,75 / 100,"HOA Dues$2,340/month"
1638423081-1119,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/10725-Ohio-Ave-90024/unit-304/home/6803657,"10725 Ohio Ave #304,","$957,000.00",3,2,"1,415",Time on Redfin34 days,1966,Not Applicable,"$942,068.00","$4,800.00","Dining Area, Formal Entry, Great Room, Service Entrance",Security Safety: Automatic Gate,Lot Size Source: Assessor,Property Attached/Detached: Attached,"1,148",21,8,80 / 100,70 / 100,65 / 100,HOA Dues$480/month
