web-scraper-order,web-scraper-start-url,pagination,link,link-href,address,price,beds,baths,sqft,DOM,year,lot_size,estimate,est_monthly_payment,parking,pool,school_dist,zoning,views,favorites,outs,walk_score,transit_score,bike_score,hoa_dues
1638406068-244,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Harbor-City/23501-Himber-Pl-90710/home/7682242,"23501 Himber Pl,","$799,000.00",4,2.5,"1,792",Time on Redfin3 days,1971,"7,649 Sq. Ft.","$851,848.00","$3,620.00",2,Pool Features: None,High School District: Los Angeles Unified,Has Parking,"2,637",179,6,73 / 100,35 / 100,55 / 100,
1638405185-101,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/1260-E-127th-St-90059/home/7345663,"1260 E 127th St,","$599,999.00",2,1,"1,203",Time on Redfin13 days,1942,"5,271 Sq. Ft.","$600,200.00","$2,718.00",1,High School District: Los Angeles Unified,Assessments: Unknown,,472,13,2,57 / 100,53 / 100,58 / 100,
1638405349-128,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/1039-N-Wilton-Pl-90038/home/7109421,"1039 N Wilton Pl,","$1,590,000.00",4,4,"2,473",Time on Redfin12 days,1921,Hollywood,"$1,581,283.00","$7,203.00",3,Patio Features: Deck(s),Sewer: In Street,Detached/No Common Walls,"2,271",43,15,88 / 100,60 / 100,74 / 100,
1638405258-114,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Encino/17155-Bullock-St-91316/home/4761505,"17155 Bullock St,","$1,229,000.00",4,2,"1,533",Time on Redfin12 days,1956,ENC - Encino,"$1,223,717.00","$5,568.00",2,Foundation Details: Pillar/Post/Pier,High School District: Los Angeles Unified,Road Frontage Type: Access via City Streets,"1,753",33,10,26 / 100,44 / 100,58 / 100,
1638406044-240,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/1149-Camulos-St-90023/home/6937250,"1149 Camulos St,","$520,000.00",2,1,679,Time on Redfin4 days,1948,"4,800 Sq. Ft.",2.0%,"$2,347.00",1,Pool Features: None,High School District: Los Angeles Unified,Co-List Agent Last Name: GOMEZ,849,33,0,69 / 100,57 / 100,41 / 100,
1638406493-344,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/415-S-Las-Palmas-Ave-90020/home/7091743,"415 S Las Palmas Ave,","$3,900,000.00",5,3.5,"3,941",Time on Redfin29 hours,1926,Hancock Park-Wilshire,"$3,867,166.00","$17,669.00",Laundry Area,In Ground Pool,Directions: South of 4th Street on Las Palmas,,"1,668",79,1,61 / 100,59 / 100,58 / 100,
1638406690-421,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/2201-Willetta-Ave-N-90068/home/7127856,"2201 Willetta St,","$2,250,000.00",2,2,"2,109",Time on Redfin2 hours,1924,Hollywood Hills East,"$2,232,549.00","$10,194.00",Laundry Inside,Assessor Parcel Number: 5576-015-010,Other Structures: None,,321,20,0,56 / 100,59 / 100,25 / 100,
1638405360-130,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Beverly-Hills/9849-Portola-Dr-90210/home/6833149,"9849 Portola Dr,","$1,279,000.00",2,1,"1,220",Time on Redfin11 days,1928,Beverly Hills Post Office,"$1,282,861.00","$5,794.00",2,# of Parking Spaces (Total): 2,Other Structures: Other,,"1,940",53,7,2 / 100,0 / 100,1 / 100,
1638405697-185,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/4234-2nd-Ave-90008/home/6875907,"4234 2nd Ave,","$999,999.00",3,2,"1,228",Time on Redfin8 days,1923,"5,441 Sq. Ft.","$1,025,560.00","$4,530.00",Kitchen Open to Family Room,Pool Features: None,High School District: Los Angeles Unified,# of Parking Spaces: 1,"2,328",126,3,69 / 100,56 / 100,52 / 100,
1638406495-345,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/VALLEY-VILLAGE/5257-N-BAINBRIDGE-PL-91607/home/176518557,"5257 Bainbridge Pl,","$983,670.00",3,3.5,"1,685",Time on Redfin28 hours,2021,VVL - Valley Village,"$982,892.00","$4,456.00","Dishwasher, Electric Oven, Free Standing Range, Garbage Disposal, Gas Stove, High Efficiency Water Heater, Vented Exhaust Fan, Water Line to Refrigerator",Foundation Details: Concrete Slab,High School District: Los Angeles Unified,Has Parking,958,10,1,78 / 100,48 / 100,68 / 100,
1638406597-384,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Torrance/1645-W-223rd-St-90501/home/7646746,"1645 W 223rd St,","$935,000.00",3,2,"1,300",Time on Redfin10 hours,1953,"6,711 Sq. Ft.",2.0%,"$4,221.00","Dishwasher, Free Standing Range, Garbage Disposal, Gas & Electric Range, Gas Water Heater, Microwave",Foundation Details: Concrete Slab,High School District: ABC Unified,Fencing: Blockwall,406,4,1,76 / 100,40 / 100,55 / 100,
1638406658-408,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/3206-Oakley-Dr-90068/home/5311138,"3206 Oakley Dr,","$1,899,000.00",3,3,"2,407",Time on Redfin4 hours,1956,Sunset Strip - Hollywood Hills West,"$1,896,046.00","$8,603.00",Laundry in Garage,In Ground Spa,"Directions: From Ventura Blvd turn onto Broadlawn Dr., slight left onto Oak Glen Dr., right onto Oakley, left into private driveway.",Detached/No Common Walls,523,16,4,32 / 100,45 / 100,22 / 100,
1638405198-103,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Granada-Hills/16115-Harvest-St-91344/home/5705123,"16115 Harvest St,","$886,000.00",4,2,"1,895",Time on Redfin13 days,1958,"6,960 Sq. Ft.","$902,761.00","$4,014.00",2,Patio And Porch Features: None,High School District: Los Angeles Unified,Zoning: LARS,"2,905",92,7,24 / 100,30 / 100,50 / 100,
1638406369-296,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Inglewood/2228-W-76th-St-90305/home/6422591,"2228 W 76th St,","$665,000.00",2,1,"1,120",Time on Redfin3 days,1927,"6,706 Sq. Ft.","$678,766.00","$3,013.00",1,Pool Features: None,High School District: Inglewood Unified,,691,23,2,61 / 100,52 / 100,57 / 100,
1638405897-216,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/4010-Jennings-Dr-90032/home/7001379,"4010 Jennings Dr,","$479,000.00",1,1,432,Time on Redfin6 days,1926,676 - Monterey Hills,"$511,841.00","$2,170.00",None,Foundation Details: Raised,High School District: Los Angeles Unified,Fencing: Chain Link,"1,271",49,3,68 / 100,41 / 100,32 / 100,
1638405935-222,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/584-N-Lucerne-Blvd-90004/home/7100098,"584 N Lucerne Blvd,","$2,500,000.00",4,4,"1,986",Time on Redfin5 days,1920,Hancock Park-Wilshire,"$2,463,685.00","$11,326.00","Gas/Electric Range, Oven-Gas, Range Hood",Patio Features: Porch - Front,Other Structures: GuestHouse,Detached/No Common Walls,"1,252",63,2,88 / 100,52 / 100,78 / 100,
1638405437-143,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/North-Hollywood/6155-St-Clair-Ave-91606/home/5118237,"6155 Saint Clair Ave,","$899,000.00",3,2,"1,454",Time on Redfin10 days,1941,Valley Glen,"$893,031.00","$4,073.00",Laundry Inside,Assessor Parcel Number: 2333-006-021,Other Structures: None,Faces East,861,23,5,62 / 100,44 / 100,48 / 100,
1638406396-306,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/5108-Towne-Ave-90011/home/6923665,"5108 Towne Ave,","$399,000.00",2,1,816,Time on Redfin3 days,1924,"2,560 Sq. Ft.","$403,870.00","$1,808.00",None,High School District: Los Angeles Unified,Assessments: Unknown,,844,25,7,63 / 100,58 / 100,71 / 100,
1638406189-262,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/3618-Parrish-Ave-90065/home/23150196,"3618 Parrish Ave,","$1,289,000.00",4,4.5,"2,110",Time on Redfin3 days,2007,Glassell Park,"$1,483,820.00","$5,840.00","Laundry Inside, Laundry Room",Assessor Parcel Number: 5462-009-005,Other Structures: None,,"2,525",166,10,24 / 100,42 / 100,12 / 100,
1638406160-258,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/4985-Wawona-St-90041/home/7177263,"4985 Wawona St,","$1,649,000.00",4,3.5,"2,468",Time on Redfin3 days,1923,Eagle Rock,"$1,916,308.00","$7,471.00","Laundry Inside, Laundry Area",In Ground Pool,Directions: Colorado Blvd. to Sierra Villa Dr. to Wawona St.,,"7,607",744,13,63 / 100,53 / 100,48 / 100,
1638406135-254,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/7831-Goddard-Ave-90045/home/6639194,"7831 Goddard Ave,","$1,025,000.00",2,1,883,Time on Redfin7 days,1950,"5,502 Sq. Ft.","$1,026,690.00","$4,644.00","Gas Oven, Gas Range",Pool Features: None,High School District: Los Angeles Unified,,922,36,3,66 / 100,42 / 100,53 / 100,
1638406686-419,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Van-Nuys/16900-Gault-St-91406/home/4527481,"16900 Gault St,","$699,000.00",3,1.5,"1,080",Time on Redfin3 hours,1949,Lake Balboa,"$700,656.00","$3,167.00",None,# of Parking Spaces (Total): 4,"Roof: Composition, Shingle",Detached/No Common Walls,325,17,0,77 / 100,44 / 100,51 / 100,
1638406588-381,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Reseda/17851-Lull-St-91335/home/3796359,"17851 Lull St,","$695,000.00",3,2,"1,643",Time on Redfin14 hours,1953,RES - Reseda,"$696,387.00","$3,149.00","Garbage Disposal, Gas Range, Gas Water Heater, Microwave, Range/Stove Hood, Refrigerator",Foundation Details: Concrete Slab,High School District: Los Angeles Unified,# of Parking Spaces: 2,642,40,3,71 / 100,41 / 100,49 / 100,
1638406673-414,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Encino/17808-Bromley-Ct-91316/home/4096564,"17808 Bromley Ct,","$829,000.00",3,2,"1,146",Time on Redfin3 hours,1949,"6,211 Sq. Ft.","$829,872.00","$3,756.00",In Living Room,Patio And Porch Features: See Remarks,High School District: Los Angeles Unified,Has Parking,433,25,0,39 / 100,36 / 100,64 / 100,
1638405982-230,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Reseda/7555-Claire-Ave-91335/home/3639317,"7555 Claire Ave,","$674,999.00",3,2,"1,207",Time on Redfin5 days,1956,"7,597 Sq. Ft.","$681,339.00","$3,058.00",2,High School District: Los Angeles Unified,Latitude: 34.20812200,,"1,693",54,3,57 / 100,43 / 100,49 / 100,
1638405240-110,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/934-Terrace-49-90042/home/7081001,"934 Terrace 49,","$1,300,000.00",4,2.5,"2,830",Time on Redfin12 days,1954,0.29 Acres,2.5%,"$5,869.00",Has Appliances,Has Patio,Common Walls: No Common Walls,,"1,029",89,7,38 / 100,34 / 100,33 / 100,
1638406644-402,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/2507-E-111th-St-90059/home/22633464,"2507 E 111th St,","$599,999.00",4,2,"1,400",Time on Redfin5 hours,2021,"3,091 Sq. Ft.","$597,806.00","$2,718.00",2,Pool Features: None,High School District: Los Angeles Unified,,108,4,0,59 / 100,51 / 100,51 / 100,
1638406223-267,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Playa-Del-Rey/249-Rees-St-90293/home/6625155,"249 Rees St,","$4,999,000.00",5,4,"5,224",Time on Redfin3 days,1940,Playa Del Rey,"$4,955,033.00","$22,648.00",4,"Patio Features: Deck(s), Porch, Porch - Rear, Porch - Front, Balcony, Covered Porch, Living Room Balcony, Living Room Deck Attached",Sewer: In Street Paid,Detached/No Common Walls,411,14,0,73 / 100,37 / 100,45 / 100,
1638406275-274,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Torrance/22209-Denker-Ave-90501/home/7646769,"22209 Denker Ave,","$1,640,000.00",5,4,"2,400",Time on Redfin3 days,2020,122 - Harbor Gateway,"$1,612,437.00","$7,430.00",4,Pool Features: None,High School District: Los Angeles Unified,Has Fence,353,9,3,66 / 100,41 / 100,51 / 100,
1638406646-403,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Valley-Village/12853-Tiara-St-91607/home/5171829,"12853 Tiara St,","$1,249,000.00",4,2.5,"2,176",Time on Redfin5 hours,1953,"7,113 Sq. Ft.","$1,236,274.00","$5,659.00","Gas, See Remarks, Living Room",Common Walls: 1 common wall,List Office Name: Huntington Group,,591,22,5,65 / 100,44 / 100,77 / 100,
1638406319-280,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/2275-Chelan-Dr-90068/home/7126689,"2275 Chelan Dr,","$2,599,000.00",4,3,"2,714",Time on Redfin3 days,1971,0.57 Acres,"$2,747,499.00","$11,775.00",Laundry Room,Above Ground Spa,Directions: Outpost Drive from Mulholland or Franklin to Chelan,,"2,261",157,3,13 / 100,37 / 100,7 / 100,
1638405958-226,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Sherman-Oaks/13724-Cumpston-St-91401/home/4721785,"13724 Cumpston St,","$1,849,000.00",4,3,"2,436",Time on Redfin5 days,1960,"5,804 Sq. Ft.","$1,911,065.00","$8,377.00","6 Burner Stove, Dishwasher, Freezer, Gas Range, Microwave, Refrigerator",Pool Features: None,High School District: Los Angeles Unified,,"3,514",256,3,60 / 100,45 / 100,82 / 100,
1638405675-182,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Porter-Ranch/20622-Walnut-Cir-91326/home/167268729,"20622 Walnut Cir,","$1,300,000.00",5,4,"2,702",Time on Redfin8 days,2018,PORA - Porter Ranch,"$1,314,273.00","$6,172.00",4,Pool Features: Community Pool,High School District: Los Angeles Unified,Zoning: LARE,"2,640",79,7,3 / 100,0 / 100,12 / 100,
1638406469-334,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/4910-S-Centinela-Ave-90066/home/177385420,"4910 S Centinela Ave,","$1,650,000.00",3,3.5,—,Time on Redfin30 hours,2021,Culver City,"$1,652,087.00","$7,475.00",3,Patio Features: Roof Top Deck,Water: In Street,Detached/No Common Walls,320,15,2,74 / 100,47 / 100,74 / 100,
1638406261-272,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/249-S-Westgate-Ave-90049/home/6838125,"249 S Westgate Ave,","$9,380,000.00",6,7,"9,501",Time on Redfin3 days,2009,Mediterranean,"$9,415,220.00","$42,496.00",3,Other Structural Features: Balcony,Assessor Parcel Number: 4404-034-004,Faces East,"1,188",71,2,66 / 100,42 / 100,27 / 100,
1638405904-217,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Sylmar/13270-Alta-Vista-Way-91342/home/8113748,"13270 Alta Vista Way,","$869,999.00",4,2.5,"2,615",Time on Redfin6 days,2002,Spanish,"$868,640.00","$4,123.00","6 Burner Stove, Convection Oven, Dishwasher, Free Standing Range, Gas Stove, Gas Water Heater",Patio And Porch Features: None,High School District: Los Angeles Unified,Has Parking,988,8,1,5 / 100,30 / 100,1 / 100,
1638406248-270,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/2923-Selby-Ave-90064/home/6753329,"2923 Selby Ave,","$1,388,000.00",3,2,"1,327",Time on Redfin3 days,1945,C08 - Cheviot Hills/Rancho Park,"$1,456,846.00","$6,288.00",2,Foundation Details: Raised,Elementary School: Overland Avenue,Has Fence,"1,709",90,14,71 / 100,55 / 100,66 / 100,
1638405500-155,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/North-Hollywood/4944-Willowcrest-Ave-91601/home/5300996,"4944 Willowcrest Ave,","$1,130,000.00",2,2,"1,820",Time on Redfin9 days,1949,"7,386 Sq. Ft.","$1,142,853.00","$5,119.00",2,Pool Features: None,High School District: Los Angeles Unified,# of Parking Spaces: 2,"2,804",109,12,77 / 100,43 / 100,56 / 100,
1638406522-355,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Sylmar/11442-Alberni-St-91342/home/5463861,"11442 Alberni Ave,","$949,999.00",4,3,"2,258",Time on Redfin26 hours,1969,Lakeview Terrace,"$947,978.00","$4,304.00","Laundry Inside, Laundry Area","Above Ground, Vinyl Pool","Directions: I-210 Freeway to Wheatland Ave exit, head north. Left on Arnwood, Right on Jimenez, Left on Nadina. Turns into Alberni.",,431,20,0,8 / 100,27 / 100,3 / 100,
1638406355-291,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/8520-Skyline-Dr-90046/home/8173415,"8520 Skyline Dr,","$9,995,000.00",5,5.5,"6,100",Time on Redfin3 days,2007,Sunset Strip - Hollywood Hills West,"$10,026,987.00","$45,282.00","Laundry Inside, Laundry Area",Private Pool,Directions: Mulholland to Skyline Drive to Crest View Drive to Greenvalley Road to Skyline Drive - Property is located at the end of Skyline Drive.,,"1,049",65,0,0 / 100,18 / 100,6 / 100,
1638405228-108,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/2040-W-85th-St-90047/home/7293644,"2040 W 85th St,","$700,000.00",3,2,"1,520",Time on Redfin12 days,1949,Metropolitan Southwest,"$699,097.00","$3,171.00",2,Patio Features: None,Athletic Court: None,Detached/No Common Walls,680,25,3,82 / 100,49 / 100,56 / 100,
1638406622-394,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Venice/21-23rd-Ave-90291/home/6734071,"21 23rd Ave,","$2,695,000.00",4,3,"2,304",Time on Redfin7 hours,1905,Venice,"$2,686,519.00","$12,210.00",2,# of Parking Spaces (Total): 3,Other Structures: None,,151,7,1,90 / 100,55 / 100,98 / 100,
1638405059-86,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,Getting Photos!Check back in 10 minutes.,https://www.redfin.com/CA/Los-Angeles/11604-San-Pedro-St-90061/home/7320762,"11604 S San Pedro St,","$429,000.00",2,1,840,Time on Redfin6 minutes,1947,Metropolitan South,"$424,140.00","$1,944.00",No Laundry,Other Structures: None,"Disclosures: Court Approval Not Required, Probate",,4,0,0,45 / 100,68 / 100,55 / 100,
1638405181-100,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Van-Nuys/17228-Valerio-St-91406/home/4521331,"17228 Valerio St,","$899,000.00",4,2,"1,421",Time on Redfin13 days,1954,Lake Balboa,"$903,216.00","$4,073.00",1,# of Parking Spaces (Total): 2,Other Structures: None,,"1,771",53,1,70 / 100,42 / 100,50 / 100,
1638406390-304,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Beverly-Hills/3001-Benedict-Canyon-Dr-90210/home/6832614,"3001 Benedict Canyon Dr,","$13,400,000.00",6,6.5,"7,100",Time on Redfin3 days,1937,Beverly Hills Post Office,"$13,127,323.00","$60,708.00",4382-022-001,# of Parking Spaces (Total): 24,"In Ground Pool, Waterfall Pool",,787,82,2,0 / 100,0 / 100,1 / 100,
1638406268-273,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/5728-Waring-Ave-90038/home/7108522,"5728 Waring Ave,","$1,700,000.00",3,1,"1,396",Time on Redfin3 days,1906,Hollywood,"$1,683,047.00","$7,702.00",Other (See Remarks),Assessor Parcel Number: 5534-033-007,Other Structures: None,,377,7,3,89 / 100,51 / 100,75 / 100,
1638406653-406,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Van-Nuys/5812-Willis-Ave-91411/home/4678094,"5812 Willis Ave,","$2,648,000.00",5,5.5,"3,035",Time on Redfin5 hours,1956,"6,752 Sq. Ft.","$2,642,355.00","$11,997.00","Dishwasher, Refrigerator, Gas & Electric Range, Oven, Range",Pool Features: In Ground,Common Walls: No Common Walls,Has Parking,382,20,1,67 / 100,55 / 100,61 / 100,
1638405135-95,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/907-Gifford-Ave-90063/home/6956033,"907 Gifford Ave,","$649,988.00",2,2,805,Time on Redfin16 days,1928,"4,360 Sq. Ft.","$659,823.00","$2,945.00",2,Pool Features: None,High School District: Los Angeles Unified,Has Fence,"3,389",101,11,72 / 100,51 / 100,39 / 100,
1638405613-172,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/5633-Spokane-St-90016/home/6890789,"5633 Spokane St,","$1,250,000.00",3,2,"1,347",Time on Redfin9 days,1944,Mid Los Angeles,"$1,275,477.00","$5,663.00",None,# of Parking Spaces (Total): 2,"Other Structural Features: Sprinkler System, French Doors",Detached/No Common Walls,"2,187",131,9,74 / 100,66 / 100,70 / 100,
1638405971-228,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/342-N-Marianna-Ave-90063/home/6959655,"342 N Marianna Ave,","$519,888.00",2,1,680,Time on Redfin5 days,1923,"8,235 Sq. Ft.","$519,360.00","$2,355.00",1,Foundation Details: Raised,High School District: Los Angeles Unified,,"1,137",29,4,83 / 100,63 / 100,28 / 100,
1638406116-251,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Sunland-Tujunga/8233-Owens-St-91040/home/5508968,"8233 Owens St,","$975,000.00",4,3,"2,057",Time on Redfin9 days,1953,"6,404 Sq. Ft.",$474.00,"$4,417.00",Gas Water Heater,Common Walls: No Common Walls,,Directions: Cross Streets: McVine Ave and Oro Vista Ave,"1,715",62,2,56 / 100,35 / 100,43 / 100,
1638405485-152,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Wilmington/1115-W-M-St-90744/home/7675167,"1115 W M St,","$480,000.00",2,1,686,Time on Redfin9 days,1923,"5,851 Sq. Ft.","$484,907.00","$2,175.00",Area,Pool Features: None,High School District: Los Angeles Unified,# of Parking Spaces: 1,964,46,2,73 / 100,51 / 100,63 / 100,
1638405856-209,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Woodland-Hills/4641-Vista-De-Oro-Ave-91364/home/4231745,"4641 Vista De Oro Ave,","$2,935,000.00",6,5,"4,754",Time on Redfin6 days,1972,Woodland Hills,"$2,906,380.00","$13,297.00",2174-015-027,# of Parking Spaces (Total): 3,"In Ground Pool, Heated And Filtered Pool","Security Features: Automatic Gate, Fire and Smoke Detection System","1,422",56,0,6 / 100,16 / 100,24 / 100,
1638405824-203,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Van-Nuys/14138-Archwood-St-91405/home/4617156,"14138 Archwood St,","$699,900.00",2,2.5,"1,063",Time on Redfin6 days,1946,"7,546 Sq. Ft.","$700,101.00","$3,171.00",Gas Range,Patio And Porch Features: Covered,High School District: Los Angeles Unified,Has Parking,712,12,4,73 / 100,53 / 100,52 / 100,
1638406515-352,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/13000-Morningside-Way-90066/home/6745467,"13000 Morningside Way,","$2,995,000.00",3,3.5,"3,007",Time on Redfin27 hours,1953,Palms - Mar Vista,"$2,981,870.00","$13,569.00",3,"Patio Features: Roof Top Deck, Wood, Deck(s), Patio Open",Sewer: In Street,Detached/No Common Walls,"1,728",151,5,55 / 100,37 / 100,55 / 100,
1638405834-205,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/1232-3rd-Ave-90019/home/6910661,"1232 3rd Ave,","$1,390,000.00",5,2,"2,870",Time on Redfin6 days,1914,Hancock Park-Wilshire,"$1,435,730.00","$6,297.00",Laundry in Unit,Athletic Court: None,Directions: North of 10 Fwy; East of Crenshaw Blvd and South of Pico Blvd.,Faces West,"1,791",126,6,84 / 100,66 / 100,65 / 100,
1638406580-378,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/San-Pedro/2936-S-Denison-Ave-90731/home/7696084,"2936 S Denison Ave,","$599,999.00",2,2,"1,040",Time on Redfin7 days,1923,"2,500 Sq. Ft.",$577.00,"$2,718.00",2,High School District: Los Angeles Unified,Latitude: 33.71716000,,"1,465",75,5,73 / 100,41 / 100,70 / 100,
1638405278-116,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Chatsworth/21152-Chatsworth-St-91311/home/5775871,"21152 Chatsworth St,","$2,250,000.00",3,2.5,"2,868",Time on Redfin12 days,1939,Chatsworth,$785.00,"$10,194.00",1,Patio Features: Porch - Front,Land Lease Type: Lease,Roofing: Tile,612,11,2,51 / 100,39 / 100,65 / 100,
1638405886-214,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Pasadena/1545-Glenover-Dr-91105/home/7184389,"1545 Glenover Dr,","$1,299,000.00",2,3,"2,071",Time on Redfin6 days,1954,647 - Pasadena (SW),"$1,405,100.00","$5,885.00","Dishwasher, Gas Stove, Gas Oven, Gas Water Heater, Microwave, Refrigerator",Foundation Details: Raised,Common Walls: No Common Walls,# of Parking Spaces: 2,"2,935",123,16,47 / 100,44 / 100,19 / 100,
1638405442-144,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/West-Hollywood/833-N-Laurel-Ave-90046/home/7106021,"833 N Laurel Ave,","$1,950,000.00",4,2.5,"1,380",Time on Redfin10 days,1922,West Hollywood Vicinity,"$1,912,600.00","$8,834.00",Other (See Remarks),Assessor Parcel Number: 5529-022-006,Other Structures: GreenHouse,,941,20,6,89 / 100,59 / 100,63 / 100,
